Area,Boro,Area Type,Date,Median Price
All Midtown,Manhattan,submarket,2013-06,3395
All Midtown,Manhattan,submarket,2013-06,3395
All Midtown,Manhattan,submarket,2012-05,3350
All Midtown,Manhattan,submarket,2012-05,3350
All Midtown,Manhattan,submarket,2013-12,3390
All Midtown,Manhattan,submarket,2012-05,3350
All Midtown,Manhattan,submarket,2014-02,3375
All Midtown,Manhattan,submarket,2013-06,3395
All Midtown,Manhattan,submarket,2014-04,3400
All Midtown,Manhattan,submarket,2014-05,3450
All Midtown,Manhattan,submarket,2014-06,3500
All Midtown,Manhattan,submarket,2014-07,3467.5
All Midtown,Manhattan,submarket,2014-08,3447.5
All Midtown,Manhattan,submarket,2014-04,3400
All Midtown,Manhattan,submarket,2014-10,3422.5
All Midtown,Manhattan,submarket,2014-05,3450
All Midtown,Manhattan,submarket,2014-12,3490
All Midtown,Manhattan,submarket,2014-07,3467.5
All Midtown,Manhattan,submarket,2015-02,3495
All Midtown,Manhattan,submarket,2015-02,3495
All Midtown,Manhattan,submarket,2015-02,3495
All Midtown,Manhattan,submarket,2015-05,3522.5
All Midtown,Manhattan,submarket,2015-06,3525
All Midtown,Manhattan,submarket,2015-07,3550
All Midtown,Manhattan,submarket,2014-06,3500
All Midtown,Manhattan,submarket,2014-06,3500
All Midtown,Manhattan,submarket,2015-10,3481.5
All Midtown,Manhattan,submarket,2015-11,3425
All Midtown,Manhattan,submarket,2015-12,3430
All Midtown,Manhattan,submarket,2014-04,3400
All Midtown,Manhattan,submarket,2015-02,3495
All Midtown,Manhattan,submarket,2014-06,3500
All Midtown,Manhattan,submarket,2014-06,3500
All Midtown,Manhattan,submarket,2016-05,3553
All Midtown,Manhattan,submarket,2014-06,3500
All Midtown,Manhattan,submarket,2014-06,3500
All Midtown,Manhattan,submarket,2015-02,3495
All Midtown,Manhattan,submarket,2015-02,3495
All Midtown,Manhattan,submarket,2014-05,3450
All Midtown,Manhattan,submarket,2014-04,3400
All Midtown,Manhattan,submarket,2016-12,3408
All Midtown,Manhattan,submarket,2013-06,3395
All Midtown,Manhattan,submarket,2017-02,3435
All Midtown,Manhattan,submarket,2017-03,3432.5
All Midtown,Manhattan,submarket,2015-02,3495
All Midtown,Manhattan,submarket,2014-06,3500
All Midtown,Manhattan,submarket,2014-06,3500
All Upper East Side,Manhattan,submarket,2010-02,2300
All Upper East Side,Manhattan,submarket,2010-02,2300
All Upper East Side,Manhattan,submarket,2010-04,2400
All Upper East Side,Manhattan,submarket,2010-05,2495
All Upper East Side,Manhattan,submarket,2010-06,2500
All Upper East Side,Manhattan,submarket,2010-06,2500
All Upper East Side,Manhattan,submarket,2010-08,2475
All Upper East Side,Manhattan,submarket,2010-06,2500
All Upper East Side,Manhattan,submarket,2010-06,2500
All Upper East Side,Manhattan,submarket,2010-11,2450
All Upper East Side,Manhattan,submarket,2010-06,2500
All Upper East Side,Manhattan,submarket,2010-05,2495
All Upper East Side,Manhattan,submarket,2010-11,2450
All Upper East Side,Manhattan,submarket,2010-04,2400
All Upper East Side,Manhattan,submarket,2010-06,2500
All Upper East Side,Manhattan,submarket,2011-05,2600
All Upper East Side,Manhattan,submarket,2011-06,2650
All Upper East Side,Manhattan,submarket,2011-07,2595
All Upper East Side,Manhattan,submarket,2011-05,2600
All Upper East Side,Manhattan,submarket,2011-09,2681.5
All Upper East Side,Manhattan,submarket,2011-10,2700
All Upper East Side,Manhattan,submarket,2011-11,2725
All Upper East Side,Manhattan,submarket,2011-12,2697.5
All Upper East Side,Manhattan,submarket,2011-06,2650
All Upper East Side,Manhattan,submarket,2012-02,2652.5
All Upper East Side,Manhattan,submarket,2011-05,2600
All Upper East Side,Manhattan,submarket,2012-04,2675
All Upper East Side,Manhattan,submarket,2012-05,2625
All Upper East Side,Manhattan,submarket,2012-06,2692.5
All Upper East Side,Manhattan,submarket,2011-06,2650
All Upper East Side,Manhattan,submarket,2011-06,2650
All Upper East Side,Manhattan,submarket,2011-10,2700
All Upper East Side,Manhattan,submarket,2012-10,2645
All Upper East Side,Manhattan,submarket,2011-06,2650
All Upper East Side,Manhattan,submarket,2012-12,2695
All Upper East Side,Manhattan,submarket,2011-06,2650
All Upper East Side,Manhattan,submarket,2013-02,2750
All Upper East Side,Manhattan,submarket,2013-03,2795
All Upper East Side,Manhattan,submarket,2011-10,2700
All Upper East Side,Manhattan,submarket,2011-10,2700
All Upper East Side,Manhattan,submarket,2011-10,2700
All Upper East Side,Manhattan,submarket,2011-06,2650
All Upper East Side,Manhattan,submarket,2013-03,2795
All Upper East Side,Manhattan,submarket,2013-09,2762.5
All Upper East Side,Manhattan,submarket,2013-02,2750
All Upper East Side,Manhattan,submarket,2011-10,2700
All Upper East Side,Manhattan,submarket,2013-02,2750
All Upper East Side,Manhattan,submarket,2012-12,2695
All Upper East Side,Manhattan,submarket,2011-10,2700
All Upper East Side,Manhattan,submarket,2011-06,2650
All Upper East Side,Manhattan,submarket,2011-06,2650
All Upper East Side,Manhattan,submarket,2011-06,2650
All Upper East Side,Manhattan,submarket,2011-06,2650
All Upper East Side,Manhattan,submarket,2011-06,2650
All Upper East Side,Manhattan,submarket,2014-08,2599
All Upper East Side,Manhattan,submarket,2014-09,2612.5
All Upper East Side,Manhattan,submarket,2011-06,2650
All Upper East Side,Manhattan,submarket,2011-10,2700
All Upper East Side,Manhattan,submarket,2013-03,2795
All Upper East Side,Manhattan,submarket,2015-01,2785
All Upper East Side,Manhattan,submarket,2015-02,2845
All Upper East Side,Manhattan,submarket,2015-03,2835
All Upper East Side,Manhattan,submarket,2013-02,2750
All Upper East Side,Manhattan,submarket,2015-05,2790
All Upper East Side,Manhattan,submarket,2015-06,2800
All Upper East Side,Manhattan,submarket,2015-06,2800
All Upper East Side,Manhattan,submarket,2015-08,2850
All Upper East Side,Manhattan,submarket,2015-09,2950
All Upper East Side,Manhattan,submarket,2015-08,2850
All Upper East Side,Manhattan,submarket,2015-06,2800
All Upper East Side,Manhattan,submarket,2015-12,2895
All Upper East Side,Manhattan,submarket,2016-01,2900
All Upper East Side,Manhattan,submarket,2015-12,2895
All Upper East Side,Manhattan,submarket,2015-09,2950
All Upper East Side,Manhattan,submarket,2016-04,2899.5
